day,temperature_high,temperature_low,weather,wind_direction,wind_level
2017-05-10,30,15,晴,西南风,4
2017-05-11,31,12,晴,北风,6
2017-05-12,29,15,多云,西北风,3
2017-05-13,27,15,晴,西风,3
2017-05-14,27,14,多云,南风,3
2017-05-15,28,15,晴,西南风,4
2017-05-16,32,17,多云,西南风,5
2017-05-17,34,19,晴,南风,2
2017-05-18,35,21,晴,西南风,3
2017-05-19,36,22,多云,西南风,5
2017-05-20,35,20,多云,东南风,3
2017-05-21,31,18,多云,东南风,4
2017-05-22,18,13,小到中雨,东北风,2
2017-05-23,28,14,晴,西南风,4
